M,X,B,e,y
100,0,3,1526.4695550965212,1529.4695550965212
100,1,3,2034.775515285988,2137.775515285988
100,2,3,2562.79848875668,2765.79848875668
100,3,3,2296.752844006904,2599.752844006904
100,4,3,2959.8331657729686,3362.8331657729686
100,5,3,2748.260705664032,3251.260705664032
100,6,3,923.5313115143488,1526.5313115143488
100,7,3,3200.3517391114833,3903.3517391114833
100,8,3,1209.6736990014347,2012.6736990014347
100,9,3,2199.640955006878,3102.640955006878
100,10,3,995.2943612306156,1998.2943612306156
100,11,3,1888.8729343850373,2991.8729343850373
100,12,3,1844.5581041803198,3047.55810418032
100,13,3,639.2449290781726,1942.2449290781726
100,14,3,1946.0349057024448,3349.034905702445
100,15,3,3197.5986811687635,4700.5986811687635
100,16,3,2495.215744387862,4098.215744387862
100,17,3,36.84483437021345,1739.8448343702134
100,18,3,743.8905198402961,2546.8905198402963
100,19,3,2164.1750241286263,4067.1750241286263
100,20,3,3491.2010214491984,5494.201021449198
100,21,3,4320.341485508513,6423.341485508513
100,22,3,1603.976800106132,3806.976800106132
100,23,3,1942.6683151195755,4245.668315119576
100,24,3,2063.0652244911676,4466.065224491167
100,25,3,3478.233171424181,5981.233171424181
100,26,3,2487.753703811536,5090.753703811536
100,27,3,2833.692640884135,5536.6926408841355
100,28,3,1640.5097071626524,4443.509707162652
100,29,3,2609.534609739469,5512.534609739469
100,30,3,2317.4094875948576,5320.409487594858
100,31,3,2414.6398543154264,5517.639854315426
100,32,3,1435.3590239974872,4638.359023997487
100,33,3,1281.5944924270177,4584.594492427018
100,34,3,4133.384095608568,7536.384095608568
100,35,3,3475.747805307601,6978.747805307601
100,36,3,1814.2266410257378,5417.226641025738
100,37,3,2319.634503411902,6022.634503411902
100,38,3,907.0709150488685,4710.070915048868
100,39,3,2591.78229304501,6494.78229304501
100,40,3,1575.0627583010562,5578.062758301056
100,41,3,2665.7128050282226,6768.712805028223
100,42,3,2763.664537805316,6966.664537805316
100,43,3,3250.955917884805,7553.955917884805
100,44,3,3470.6302940626165,7873.6302940626165
100,45,3,2683.766317879407,7186.766317879406
100,46,3,2422.853639315527,7025.853639315526
100,47,3,1351.3269489542517,6054.326948954252
100,48,3,2251.082286062744,7054.082286062744
100,49,3,674.0040936891132,5577.004093689113
100,50,3,2264.4708013081936,7267.470801308194
100,51,3,3500.537675378091,8603.537675378091
100,52,3,2057.721845754386,7260.721845754386
100,53,3,1647.6524180086196,6950.65241800862
100,54,3,1883.5929838512845,7286.592983851285
100,55,3,3222.40637259536,8725.40637259536
100,56,3,1709.1910075926994,7312.191007592699
100,57,3,2840.7598630045813,8543.759863004581
100,58,3,2249.2369166701983,8052.236916670198
100,59,3,730.1532459099249,6633.153245909925
100,60,3,3819.415161228865,9822.415161228866
100,61,3,-1186.9506638111334,4916.049336188867
100,62,3,2822.9925502206497,9025.99255022065
100,63,3,1963.8582483094854,8266.858248309485
100,64,3,1772.2124320729688,8175.212432072969
100,65,3,2210.9784598694973,8713.978459869497
100,66,3,1973.4283094725624,8576.428309472562
100,67,3,2044.8645340582768,8747.864534058277
100,68,3,1815.639686682532,8618.639686682533
100,69,3,1985.743577669399,8888.743577669398
100,70,3,2312.7487111163723,9315.748711116372
100,71,3,2148.682426604726,9251.682426604726
100,72,3,2497.910058061724,9700.910058061723
100,73,3,2655.0911426329894,9958.09114263299
100,74,3,2223.727187855342,9626.727187855342
100,75,3,1331.5355966149136,8834.535596614915
100,76,3,2444.128618727848,10047.128618727847
100,77,3,1945.0382718092637,9648.038271809264
100,78,3,2469.307520560687,10272.307520560687
100,79,3,2043.0828068479009,9946.0828068479
100,80,3,1356.1027993866787,9359.10279938668
100,81,3,1715.9919150860262,9818.991915086026
100,82,3,1522.1012661033046,9725.101266103306
100,83,3,326.12927157277477,8629.129271572774
100,84,3,1609.4190994254513,10012.419099425451
100,85,3,1999.896241768729,10502.896241768729
100,86,3,1942.996972482862,10545.996972482862
100,87,3,3362.9114526383696,12065.91145263837
100,88,3,1203.460678587234,10006.460678587235
100,89,3,3357.8174834248784,12260.817483424878
100,90,3,1977.1459908447875,10980.145990844787
100,91,3,755.5652161563742,9858.565216156374
100,92,3,1518.4524455390952,10721.452445539095
100,93,3,1458.4746640155918,10761.474664015592
100,94,3,2133.2449184156544,11536.244918415654
100,95,3,1220.7105604769417,10723.710560476942
100,96,3,2139.8823537907406,11742.882353790741
100,97,3,2938.2116913985988,12641.2116913986
100,98,3,539.6577014937327,10342.657701493732
100,99,3,3505.462873167093,13408.462873167093
