M,X,B,e,y
2.5,0,3,-13.366892878771072,-10.366892878771072
2.5,1,3,37.30924627930677,42.80924627930677
2.5,2,3,-15.015368870423496,-7.0153688704234956
2.5,3,3,45.16373145408286,55.66373145408286
2.5,4,3,11.095343708910638,24.09534370891064
2.5,5,3,-22.053697617860248,-6.553697617860248
2.5,6,3,-58.50365795554689,-40.50365795554689
2.5,7,3,-43.20126069940968,-22.70126069940968
2.5,8,3,34.11881970506897,57.11881970506897
2.5,9,3,-70.93152600041235,-45.43152600041235
2.5,10,3,-35.25496881486709,-7.254968814867091
2.5,11,3,-3.6071212289624417,26.89287877103756
2.5,12,3,27.101456282633755,60.101456282633755
2.5,13,3,-53.6538752372959,-18.1538752372959
2.5,14,3,-4.25009419919008,33.74990580080992
2.5,15,3,15.376520180368553,55.87652018036855
2.5,16,3,59.462503194388724,102.46250319438872
2.5,17,3,-4.658421824181458,40.84157817581854
2.5,18,3,-26.22038798344619,21.77961201655381
2.5,19,3,1.1734476332603279,51.67344763326033
2.5,20,3,-1.812723994756675,51.187276005243326
2.5,21,3,-75.56387847763548,-20.063878477635484
2.5,22,3,2.514246637107466,60.51424663710747
2.5,23,3,-57.41553404774461,3.0844659522553926
2.5,24,3,-26.479566708706386,36.520433291293614
2.5,25,3,70.35310802962371,135.8531080296237
2.5,26,3,14.750871464798932,82.75087146479893
2.5,27,3,-9.416395054693119,61.08360494530688
2.5,28,3,50.87114712073964,123.87114712073964
2.5,29,3,-8.621576074571546,66.87842392542845
2.5,30,3,24.52805378647543,102.52805378647543
2.5,31,3,-61.76427533608576,18.73572466391424
2.5,32,3,61.32763206963882,144.3276320696388
2.5,33,3,-13.891684570585058,71.60831542941494
2.5,34,3,-18.776588349094574,69.22341165090543
2.5,35,3,27.66014838468296,118.16014838468296
2.5,36,3,-22.879700125599694,70.1202998744003
2.5,37,3,-15.180811123795971,80.31918887620402
2.5,38,3,19.68183453096711,117.68183453096711
2.5,39,3,-91.2001205398571,9.299879460142904
2.5,40,3,47.27212332018655,150.27212332018655
2.5,41,3,-27.235734541913963,78.26426545808604
2.5,42,3,-16.559028665408608,91.4409713345914
2.5,43,3,-5.457081692814643,105.04291830718536
2.5,44,3,1.3621380017463205,114.36213800174632
2.5,45,3,48.365359187858694,163.8653591878587
2.5,46,3,-2.1195430131152744,115.88045698688472
2.5,47,3,-8.925967955122475,111.57403204487753
2.5,48,3,-19.625540958997135,103.37445904100286
2.5,49,3,46.39254862347664,171.89254862347664
2.5,50,3,29.57648700348315,157.57648700348315
2.5,51,3,70.17348269354008,200.67348269354008
2.5,52,3,-19.578414958677133,113.42158504132287
2.5,53,3,40.3748661525359,175.8748661525359
2.5,54,3,-13.891287946732582,124.10871205326742
2.5,55,3,-22.45278452322754,118.04721547677246
2.5,56,3,30.13444964788869,173.1344496478887
2.5,57,3,27.30427566259181,172.8042756625918
2.5,58,3,34.52560345524114,182.52560345524114
2.5,59,3,4.508813598455777,155.0088135984558
2.5,60,3,-33.40713772356894,119.59286227643106
2.5,61,3,35.70496759933116,191.20496759933116
2.5,62,3,-71.35293792003472,86.64706207996528
2.5,63,3,-12.990554707418967,147.50944529258103
2.5,64,3,-44.10513330794445,118.89486669205556
2.5,65,3,38.518734661137174,204.01873466113716
2.5,66,3,58.11321949083539,226.11321949083538
2.5,67,3,29.285914090753426,199.78591409075344
2.5,68,3,-2.719273501122372,170.28072649887764
2.5,69,3,1.7807596934126435,177.28075969341265
2.5,70,3,60.99694976391973,238.99694976391973
2.5,71,3,-48.58959394823389,131.9104060517661
2.5,72,3,16.699850200125308,199.6998502001253
2.5,73,3,18.32299289150534,203.82299289150535
2.5,74,3,-36.824888823121405,151.1751111768786
2.5,75,3,-3.2028489321736666,187.29715106782632
2.5,76,3,-13.260805031020194,179.7391949689798
2.5,77,3,35.56272886530557,231.0627288653056
2.5,78,3,-6.554185139705726,191.44581486029426
2.5,79,3,-35.60770078042108,164.89229921957892
2.5,80,3,56.48341956912157,259.48341956912157
2.5,81,3,-11.730020330307312,193.7699796696927
2.5,82,3,-50.844725229734195,157.1552747702658
2.5,83,3,5.106273653973131,215.60627365397312
2.5,84,3,41.190528126356796,254.1905281263568
2.5,85,3,-31.211184883152487,184.2888151168475
2.5,86,3,-22.341791261481983,195.65820873851803
2.5,87,3,-48.99706184362606,171.50293815637394
2.5,88,3,-20.872309795695244,202.12769020430477
2.5,89,3,-19.151262478563822,206.3487375214362
2.5,90,3,-4.706373733040426,223.29362626695956
2.5,91,3,-5.735589212399531,224.76441078760047
2.5,92,3,-20.26618946690136,212.73381053309865
2.5,93,3,-44.720471097303694,190.7795289026963
2.5,94,3,-1.480896407210659,236.51910359278935
2.5,95,3,-91.04240503948623,149.45759496051377
2.5,96,3,44.7388700052023,287.73887000520233
2.5,97,3,57.77590092540716,303.27590092540714
2.5,98,3,1.3255491267008017,249.3255491267008
2.5,99,3,17.43052746200891,267.9305274620089
